,period,geolevel,geoitem,v2801_vh_bedr_tot,v2801_vh_dr_tot,v2801_vh_ds_auto,v2801_vh_ds_fiets,v2801_vh_ds_gewnowap,v2801_vh_ds_handtas,v2801_vh_ds_tot,v2801_vh_ds_voert,v2801_vh_ds_wap,v2801_vh_ds_winkel,v2801_vh_ds_woning,v2801_vh_ds_zakrol,v2801_vh_ifg_fys,v2801_vh_ifg_psych,v2801_vh_ifg_sx,v2801_vh_scha_auto,v2801_vh_scha_eig,v2801_vh_scha_graff,v2801_vh_totcrim
0,2011,gemeente,11001,33,11,16,41,7,3,391,42,1,13,117,19,21,23,2,39,77,1,783
1,2011,gemeente,11002,2221,3931,940,3258,2292,407,38786,6247,528,2938,4560,4818,2175,1000,43,3541,7744,292,81616
2,2011,gemeente,11004,53,14,3,93,8,1,350,46,1,13,59,16,19,31,0,48,109,2,749
3,2011,gemeente,11005,85,350,14,118,41,14,785,125,15,28,104,55,74,71,3,105,244,8,2196
4,2011,gemeente,11007,60,16,7,34,4,0,376,28,4,34,127,19,32,28,2,39,108,3,899
5,2011,gemeente,11008,51,267,11,290,19,2,1154,135,5,28,295,49,78,52,7,174,458,100,2737
6,2011,gemeente,11009,42,98,9,139,8,1,683,124,3,20,177,7,29,27,1,74,168,3,1441
7,2011,gemeente,11013,45,20,5,79,18,1,654,73,9,29,210,20,30,53,0,89,158,4,1228
8,2011,gemeente,11016,37,54,6,97,6,1,390,41,6,6,45,16,25,18,0,70,177,6,1026
9,2011,gemeente,11018,24,22,4,37,8,1,240,29,5,6,41,7,35,20,3,54,147,7,695
10,2011,gemeente,11021,14,9,5,49,3,0,261,38,0,1,108,4,8,23,0,27,54,4,426
11,2011,gemeente,11022,29,22,9,139,4,1,399,20,0,16,48,16,35,21,1,52,177,3,1000
12,2011,gemeente,11023,58,116,11,139,10,0,617,58,4,22,108,35,38,28,0,93,199,3,1459
13,2011,gemeente,11024,91,68,12,128,10,2,740,101,5,26,170,42,38,42,0,96,201,7,1608
14,2011,gemeente,11025,14,11,1,42,1,0,159,12,0,2,33,4,12,17,0,28,49,0,341
15,2011,gemeente,11029,117,32,21,264,30,4,1109,95,7,42,242,88,53,42,4,92,206,12,2092
16,2011,gemeente,11030,28,7,4,37,5,3,207,16,1,1,29,4,31,47,0,52,137,3,732
17,2011,gemeente,11035,71,32,10,49,4,0,513,89,1,5,177,13,29,17,0,70,134,0,1009
18,2011,gemeente,11037,63,31,9,36,11,1,382,57,1,12,79,22,38,38,2,65,140,4,970
19,2011,gemeente,11038,38,4,0,39,7,1,197,18,2,19,29,3,17,29,0,31,95,6,520
20,2011,gemeente,11039,45,13,8,73,5,0,534,78,2,19,141,28,11,23,0,49,150,2,1067
21,2011,gemeente,11040,165,167,29,117,35,4,1079,141,8,150,212,47,73,56,3,145,349,2,2615
22,2011,gemeente,11044,38,103,7,37,5,0,294,55,0,7,50,14,28,30,0,73,134,4,893
23,2011,gemeente,11050,95,28,13,31,17,1,699,50,3,173,76,128,13,11,1,55,94,0,1192
24,2011,gemeente,11052,102,20,16,36,7,0,440,66,1,9,131,22,23,26,2,48,112,0,950
25,2011,gemeente,11053,34,66,12,70,6,0,442,60,4,5,102,19,35,23,1,37,135,8,1171
