,period,geolevel,geoitem,v2801_vh_bedr_tot,v2801_vh_dr_tot,v2801_vh_ds_auto,v2801_vh_ds_fiets,v2801_vh_ds_gewnowap,v2801_vh_ds_handtas,v2801_vh_ds_tot,v2801_vh_ds_voert,v2801_vh_ds_wap,v2801_vh_ds_winkel,v2801_vh_ds_woning,v2801_vh_ds_zakrol,v2801_vh_ifg_fys,v2801_vh_ifg_psych,v2801_vh_ifg_sx,v2801_vh_scha_auto,v2801_vh_scha_eig,v2801_vh_scha_graff,v2801_vh_totcrim
0,2011,provincie,4000,5178,5938,2542,3617,9417,1384,105574,28844,1581,3773,10673,16914,3389,1264,82,7507,13781,940,187726
1,2011,provincie,10000,5969,9867,1592,10197,3031,499,74190,9572,752,4893,10941,6671,4525,3487,115,8302,19508,742,170277
2,2011,provincie,20001,2684,3042,691,4531,833,72,33508,5191,257,1833,6223,2050,1794,1200,70,4441,9097,364,77419
3,2011,provincie,30000,3356,3693,596,7461,866,117,36130,4019,172,2598,3804,3152,2124,1902,78,5433,12998,441,90026
4,2011,provincie,40000,7594,6252,759,6971,1293,175,45204,4910,282,3106,6588,3076,3633,2958,127,5976,15341,509,123098
5,2011,provincie,70000,2155,5673,611,2560,444,64,19979,1926,214,1440,3211,1240,1510,1581,49,3046,7354,174,55381
6,2012,provincie,4000,5443,5952,2088,2814,8749,1027,96836,23046,1324,3329,10178,18397,3177,1161,81,6914,12942,1012,178347
7,2012,provincie,10000,7482,8571,1485,10883,2745,472,76516,10260,772,4863,11423,6951,4184,3283,111,7409,17350,619,170682
8,2012,provincie,20001,3310,3130,660,4411,820,66,34059,4854,188,1699,6536,2742,1735,1014,58,3846,8013,327,77455
9,2012,provincie,30000,4323,3296,434,6326,830,100,34457,3563,198,2363,4138,3164,2102,1805,62,4796,11500,361,86725
10,2012,provincie,40000,8066,6363,636,6954,1317,167,44433,4309,281,3096,6624,3265,3442,2796,97,5458,13854,468,120333
11,2012,provincie,70000,2528,5320,546,2299,460,49,21925,1956,207,1374,3994,1900,1450,1311,59,3089,7149,144,57691
12,2013,provincie,4000,5603,7599,1888,2515,6600,776,84598,18827,1126,3066,9261,17092,3111,1217,69,6028,11572,909,167119
13,2013,provincie,10000,6856,9225,1362,10349,2545,392,71820,10285,671,5104,9994,6422,4159,2674,135,6325,14733,576,160066
14,2013,provincie,20001,3451,3305,587,3852,867,81,34714,4383,222,1782,7857,3424,1684,1085,50,3580,7785,428,77738
15,2013,provincie,30000,3908,3451,417,6012,712,82,31484,2667,150,2354,4132,2724,2063,1580,67,4273,10375,351,81011
16,2013,provincie,40000,7290,6702,641,6695,1236,145,42196,3751,265,2956,6815,3062,3332,3019,97,4810,12444,376,114520
17,2013,provincie,70000,2350,4879,514,2400,411,35,20461,1770,155,1400,3533,1506,1494,1181,40,2659,6250,132,54491
18,2014,provincie,4000,5804,8600,1928,2832,6326,718,76576,16929,910,3068,9227,13790,3130,1136,57,5571,11259,981,159975
19,2014,provincie,10000,7180,10241,1207,10705,2226,266,65702,9292,598,4570,9667,5492,4069,2379,108,5688,13436,466,150334
20,2014,provincie,20001,3393,3533,625,4078,858,87,32781,4807,205,1554,7373,2482,1761,1167,35,3407,7442,429,76003
21,2014,provincie,30000,3925,4323,424,6527,703,94,30797,2568,136,2470,4048,1984,1944,1569,76,4070,9918,338,81154
22,2014,provincie,40000,6949,8336,612,6268,1226,105,40489,3709,197,2907,7168,2773,3439,3077,100,4481,11837,483,114503
23,2014,provincie,70000,2388,5752,554,2411,479,28,19267,1749,153,1303,3651,1118,1546,1333,43,2364,5835,145,53789
24,2015,provincie,4000,5519,7914,1733,2903,7379,467,68540,14133,1046,2953,8726,10844,3170,1254,59,5184,10846,1024,146937
25,2015,provincie,10000,7345,9325,1060,10090,2009,139,58841,8229,527,4417,9385,4260,4095,2052,123,5118,12391,477,139231
26,2015,provincie,20001,4001,4001,631,4478,743,45,29408,3363,209,1527,7414,1770,1778,835,48,3309,6886,335,72570
27,2015,provincie,30000,4120,4412,443,5656,728,49,27349,2330,133,2128,3260,1645,2010,1315,61,3712,9087,260,77240
28,2015,provincie,40000,7186,7538,535,6280,1097,40,37323,3497,174,2977,5867,2249,3441,2569,85,4264,11334,334,108673
29,2015,provincie,70000,2346,5204,586,2382,507,34,18095,1451,157,1312,3797,880,1427,1170,31,2301,5737,187,51009
30,2016,provincie,4000,5348,8330,1624,3291,6445,354,63327,14654,861,2474,7371,9353,3104,1289,71,4745,10018,795,142463
31,2016,provincie,10000,7580,9518,993,10222,1978,138,53871,7219,425,4627,7401,3614,4385,2197,132,4884,11919,360,137042
32,2016,provincie,20001,3814,4938,488,4309,747,35,26317,3231,182,1604,5923,1526,1766,955,48,2901,6166,264,69666
33,2016,provincie,30000,4072,4649,342,5423,691,23,25259,2292,135,2217,2839,1316,2281,1260,75,3442,8621,223,75917
34,2016,provincie,40000,6222,7898,484,5983,1043,39,34881,4082,214,2880,5286,1644,3531,2628,123,4159,11274,393,107110
35,2016,provincie,70000,2300,5339,538,2115,468,8,16403,1238,114,1336,3341,915,1544,1240,43,1968,5278,173,49109
36,2017,provincie,4000,6193,8404,1616,3548,6291,312,65353,13343,810,2283,7487,10695,3078,1327,67,4646,9655,588,145817
37,2017,provincie,10000,7521,10372,803,9526,1824,90,51659,6052,455,4439,7440,3496,4216,2297,119,4813,12038,414,137207
38,2017,provincie,20001,4045,5377,512,3963,637,34,24435,3128,195,1638,4954,1365,1854,942,38,2756,5883,209,68845
39,2017,provincie,30000,3906,4992,328,5030,617,31,23618,2034,112,2296,2590,1197,2217,1329,68,3095,8416,409,73188
40,2017,provincie,40000,5677,7971,360,6338,956,51,32235,2798,189,3116,4559,1420,3543,2501,106,4077,11101,346,104034
41,2017,provincie,70000,2262,5323,377,1986,362,9,14892,1179,141,1301,2802,712,1646,1207,40,2212,5601,200,47976
42,2018,provincie,4000,6779,8584,1397,3820,6140,299,69108,12196,870,2521,7509,14211,3286,1302,56,4613,9449,487,149540
43,2018,provincie,10000,8529,10453,605,8377,1762,91,46860,4858,372,4515,7000,3427,4459,2092,113,4909,11634,304,135252
44,2018,provincie,20001,4493,5227,539,3902,683,21,24247,2941,128,1778,5095,1250,1845,930,37,2690,6016,180,70659
45,2018,provincie,30000,4563,4965,292,4540,695,25,23016,1846,133,2568,2673,1201,2246,1297,60,3085,8258,202,73292
46,2018,provincie,40000,6282,8689,347,6137,1090,51,31042,2607,157,3244,4275,1380,3473,2627,97,3695,10185,231,105290
47,2018,provincie,70000,2880,5749,331,1695,380,10,13948,1093,127,1391,2536,650,1929,1259,38,2095,5298,143,49266
48,2019,provincie,4000,7093,8979,1269,4182,5630,217,71185,11831,781,2286,6881,16832,3145,1301,58,4583,9071,423,152196
49,2019,provincie,10000,9827,10726,558,8761,1693,68,45720,5519,358,4625,6128,3176,4571,2129,112,4814,11331,342,136298
